"1","Incidence density sampling,Unadjusted score test,Controls","This group contains all the Controls participants for the contingency table test using incidence density sampling","1",\N,"1"
"2","Incidence density sampling,Unadjusted score test, Cases non-aggressive","This group contains all the early case participants for the contingency table test using incidence density sampling","1",\N,"3"
"3","Incidence density sampling,Unadjusted score test, Cases aggressive","This group contains all the advanced case participants for the contingency table test using incidence density sampling","1",\N,"4"
"4","Incidence density sampling,Adjusted score test,Controls","This group contains all the Controls participants for the score test using incidence density sampling","2",\N,"1"
"5","Incidence density sampling,Adjusted score test,Cases non-aggressive","This group contains all the early case participants for the score test using incidence density sampling","2",\N,"3"
"6","Incidence density sampling,Adjusted score test,Cases aggressive","This group contains all the advanced case participants for the score test using incidence density sampling","2",\N,"4"
"7","Single selection sampling,Unadjusted score test,Controls","This group contains all the Controls participants for the contingency table test using standard sampling","3",\N,"1"
"8","Single selection sampling,Unadjusted score test,Cases non-aggressive","This group contains all the early case participants for the contingency table test using standard sampling","3",\N,"3"
"9","Single selection sampling,Unadjusted score test,Cases aggressive","This group contains all the advanced case participants for the contingency table test using standard sampling","3",\N,"4"
"10","Single selection sampling,Adjusted score test,Controls","This group contains all the Controls participants for the score test using standard sampling","4",\N,"1"
"11","Single selection sampling,Adjusted score test,Cases non-aggressive","This group contains all the early case participants for the score test using standard sampling","4",\N,"3"
"12","Single selection sampling,Adjusted score test,Cases aggressive ","This group contains all the advanced case participants for the score test using standard sampling","4",\N,"4"
"13","Incidence density sampling,Unadjusted score test,Controls","This group contains all the Controls participants for the contingency table test using incidence density sampling","5",\N,"1"
"14","Incidence density sampling,Unadjusted score test, Cases non-aggressive","This group contains all the early case participants for the contingency table test using incidence density sampling","5",\N,"3"
"15","Incidence density sampling,Unadjusted score test, Cases aggressive","This group contains all the advanced case participants for the contingency table test using incidence density sampling","5",\N,"4"
"16","Incidence density sampling,Adjusted score test,Controls","This group contains all the Controls participants for the score test using incidence density sampling","6",\N,"1"
"17","Incidence density sampling,Adjusted score test,Cases non-aggressive","This group contains all the early case participants for the score test using incidence density sampling","6",\N,"3"
